茶饮名称,类型,子类型,组合成分,特点/功效,适用场景
" 一、茶+茶：六大茶类的“内部联姻”
即不同茶类之间的拼配。这种组合旨在融合不同茶类的风味特点，创造出更复杂的层次感。",,,,,
乌龙白茶,茶+茶,内部联姻,乌龙茶（铁观音、大红袍）+白茶（白牡丹、寿眉）,融合乌龙茶高扬香气、醇厚口感与白茶清甜鲜爽，口感顺滑,日常品饮
黑茶白茶,茶+茶,内部联姻,黑茶（普洱熟茶）+白茶（老白茶）,普洱醇厚与老白茶甘甜结合，茶汤饱满，兼具暖胃与润燥功效,秋冬暖胃
绿茶白茶,茶+茶,内部联姻,绿茶（龙井）+白茶,龙井鲜爽与白茶清雅结合，口感清爽,夏季饮用
红茶白茶,茶+茶,内部联姻,红茶+白茶,红茶甜润与白茶清甜叠加，茶汤甜度高、茶性温和,日常品饮
龙井碧螺春,茶+茶,内部联姻,龙井×碧螺春（同茶类拼配）,同茶类拼配，融合两种绿茶鲜爽,日常品饮
红茶黑茶,茶+茶,内部联姻,红茶×黑茶（跨茶类拼配）,跨茶类拼配，红茶甜润与黑茶醇厚结合,日常品饮
"二、 茶+非茶：风味与功效的“跨界融合”
这是目前新式茶饮中最主流的玩法，通过添加其他食材来丰富茶的风味或赋予其特定功能。",,,,,
陈皮普洱茶,茶+非茶,茶+草本/花果（养生系）,陈皮+普洱,陈皮理气健脾，普洱消食解腻，秋冬暖胃消食绝佳,秋冬暖胃
菊花普洱,茶+非茶,茶+草本/花果（养生系）,菊花+普洱,菊花清热解毒，普洱温和养胃，适合肝火旺盛或需要清肝明目的人群。,夏季饮用
桂花乌龙茶,茶+非茶,茶+草本/花果（养生系）,桂花+乌龙,桂花甜香与乌龙茶兰香交织，秋季限定风味,秋季饮用
玫瑰红茶,茶+非茶,茶+草本/花果（养生系）,玫瑰+红茶,玫瑰的浪漫香气与红茶的醇厚结合，适合女性饮用，有美容养颜的寓意。,日常品饮
茉莉绿茶/茉莉白茶,茶+非茶,茶+草本/花果（养生系）,茉莉花+茶底,茉莉花窨制的花茶，香气鲜灵，是制作水果茶和纯茶的顶级基底。,日常品饮
柠檬红茶/绿茶,茶+非茶, 茶+水果（鲜果系）,柠檬+茶底,最经典的果茶组合，柠檬的酸爽与茶的微涩形成完美平衡,夏季饮用
百香果绿茶/红茶,茶+非茶, 茶+水果（鲜果系）,百香果+茶底,百香果绿茶/红茶：百香果的浓郁热带风味与茶底结合，口感层次丰富。,夏季饮用
蜜桃乌龙茶,茶+非茶, 茶+水果（鲜果系）,白桃+乌龙,白桃果香与乌龙茶清香结合，近年火爆调味茶,日常品饮
茶撞酸乳饮品,茶+非茶,奶基底,茶+撞酸乳,解决“水果+奶”起絮问题，新型乳品原料,水果奶茶
茶希腊酸奶乳清饮品,茶+非茶,奶基底,茶+希腊酸奶乳清（茉酸奶）,希腊酸奶乳清作为奶基底，适合现制饮品,现制酸奶茶
"三、 茶+跨界：打破次元壁的“新物种”
这是目前最前沿的创新方向，将茶与咖啡、酒、气泡水等完全不同的饮品结合。",,,,,
茶酒（Tea Cocktail）,茶+跨界,新物种,茶汤（乌龙茶、红茶）+威士忌、金酒,用茶汤作为基酒或调味剂，与威士忌、金酒等烈酒调制鸡尾酒，如“长岛冰茶”的变种或新中式特调。,鸡尾酒茶双重爱好者
茶咖（鸳鸯拿铁）,茶+跨界,新物种,茶汤（乌龙茶、红茶）+浓缩咖啡,融合茶清香与咖啡醇苦，代表产品如“鸳鸯拿铁”,咖啡茶双重爱好者
气泡乌龙茶,茶+跨界,新物种,冷泡茶/茶汤+气泡,注入气泡，口感清爽刺激，类似无酒精香槟（如“气泡乌龙”）,夏季清爽饮用
